18:42:06.666 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
18:42:08.243 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 0234ffcb-f188-4952-9ed1-99d7ae0d289d_config-0
18:42:08.438 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 124 ms to scan 1 urls, producing 3 keys and 6 values 
18:42:08.509 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 4 keys and 9 values 
18:42:08.539 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 27 ms to scan 1 urls, producing 3 keys and 10 values 
18:43:16.516 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
18:43:17.765 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of fd93a297-d56a-44a1-8207-167346dcd4d6_config-0
18:43:17.821 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 34 ms to scan 1 urls, producing 3 keys and 6 values 
18:43:17.857 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 4 keys and 9 values 
18:43:17.882 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 23 ms to scan 1 urls, producing 3 keys and 10 values 
18:43:18.095 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 208 ms to scan 200 urls, producing 0 keys and 0 values 
18:43:18.109 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 5 values 
18:43:18.120 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 1 keys and 7 values 
18:43:18.133 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
18:43:18.269 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 132 ms to scan 200 urls, producing 0 keys and 0 values 
