18:42:06.666 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
18:42:08.217 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of ccde2ff8-eb91-484d-8d2f-f2b26c81b754_config-0
18:42:08.436 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 125 ms to scan 1 urls, producing 3 keys and 6 values 
18:42:08.521 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 4 keys and 9 values 
18:42:08.543 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 18 ms to scan 1 urls, producing 3 keys and 10 values 
18:43:14.780 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.0.Final
18:43:16.085 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 54522c34-5938-4912-ad2d-65f858e8a1f8_config-0
18:43:16.126 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 26 ms to scan 1 urls, producing 3 keys and 6 values 
18:43:16.158 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 21 ms to scan 1 urls, producing 4 keys and 9 values 
18:43:16.170 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
18:43:16.312 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 140 ms to scan 176 urls, producing 0 keys and 0 values 
18:43:16.325 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 5 values 
18:43:16.341 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 1 keys and 7 values 
18:43:16.352 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
18:43:16.482 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 127 ms to scan 176 urls, producing 0 keys and 0 values 
18:43:16.483 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [54522c34-5938-4912-ad2d-65f858e8a1f8_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
